ObjID,a,e,inc,node,argPeri,ma,epochMJD_TDB,FORMAT
1928 PD,2.2185578,0.2408367,5.855,241.69862,78.62392,341.9895,60400.0,KEP
1927 CO,2.9928757,0.1033008,3.89106,132.31282,234.71594,67.41795,60400.0,KEP
1928 PE,3.0216077,0.1095232,8.9894,302.73366,86.63374,20.87652,60400.0,KEP
1928 QC,3.1154352,0.1345209,13.25471,324.38826,119.45944,51.96112,60400.0,KEP
1928 WA,3.0954488,0.07182909999999999,10.71972,195.3125,208.11196,208.42629,60400.0,KEP
1928 XC,3.0989489,0.174264,15.28707,71.63226,56.59159,132.61527,60400.0,KEP
1929 GD,2.9276754,0.2241764,16.54894,356.21331,83.3527,100.2819,60400.0,KEP
1927 KA,2.247111,0.1985383,4.34425,147.08789,150.99196,227.73117,60400.0,KEP
1927 QD,3.2118449,0.042926,13.95343,318.68571,337.53434,354.86289,60400.0,KEP
1927 UB,2.6110182,0.1544798,7.8543,57.34916,229.97338,31.18594,60400.0,KEP
1928 RV,2.2160002,0.1552537,4.05098,158.61238,219.88057,330.81223,60400.0,KEP
1928 RZ,2.547866,0.1569054,6.16483,357.86542,49.99983,147.64015,60400.0,KEP
1928 SB,2.6079821,0.2550609,4.73111,63.31527,329.01228,232.57616,60400.0,KEP
1928 ST,2.2252116,0.1563753,6.41876,79.84469,317.57736,259.77668,60400.0,KEP
1928 TB,2.9291896,0.0304322,7.78928,22.22557,270.23125,95.91084,60400.0,KEP
1957 UN1,3.1269616,0.2177028,3.04075,97.15152,10.17648,283.45249,60400.0,KEP
1929 AC,2.2721214,0.1475207,6.5028500000000005,0.9890800000000001,135.98833,262.04017,60400.0,KEP
1929 AJ,2.5928319,0.2658108,14.76943,128.32984,282.76846,327.56948,60400.0,KEP
1929 EB,2.7863355,0.0439163,1.01232,59.43,234.88247,35.928960000000004,60400.0,KEP
1929 PH,3.0200114,0.0845446,8.62219,269.1878,139.93464,295.0769,60400.0,KEP
1929 RC,2.2280822,0.1981279,2.1696,216.09117,113.76776,164.31569,60400.0,KEP
1929 RO,2.2280938,0.28609399999999996,3.22987,100.65569,248.06878,156.19337,60400.0,KEP
1929 RB1,2.6846716,0.2755666,7.22473,29.57401,270.4315,197.72393,60400.0,KEP
1929 RC1,2.1857135,0.1876028,5.37478,58.20206,306.72575,79.0157,60400.0,KEP
1929 SA,2.6770986,0.46942629999999996,15.32112,5.77926,332.91039,185.38229,60400.0,KEP
1929 TA,2.6665444,0.11398549999999999,4.54035,350.60917,3.60991,271.42066,60400.0,KEP
1929 UA,2.566877,0.2541462,8.9785,209.47116,148.84237,26.38732,60400.0,KEP
1929 WB,2.424619,0.0972745,4.31648,78.42177,277.69135,38.82714,60400.0,KEP
1929 WF,3.1454594,0.0770039,13.97194,283.44786,106.52481,349.60507,60400.0,KEP
1929 XE,1.9473903,0.2555965,13.08722,213.29581,206.75225,261.01623,60400.0,KEP
1929 YC,2.773623,0.11009329999999999,14.11695,72.06176,310.44706,216.35205,60400.0,KEP
1930 AA,2.2708757999999998,0.1648866,4.27435,105.4975,276.04408,256.43829,60400.0,KEP
1930 BC,3.1881353,0.07889349999999999,2.10928,139.29829,98.48193,144.44448,60400.0,KEP
1930 BH,5.2323359,0.091224,3.14215,221.23292,238.33135,3.21426,60400.0,KEP
1930 BJ,3.7524823,0.0805396,9.80581,156.11845,216.74696,99.95022,60400.0,KEP
1929 CC,2.4237427,0.1196685,6.208,346.78298,267.19238,335.24526,60400.0,KEP
1929 JF,3.0451816,0.2547875,17.06319,213.83007,63.52713,270.22885,60400.0,KEP
1929 LF,2.270085,0.2325186,3.8833100000000003,265.1134,15.7651,242.50222,60400.0,KEP
1929 NA,3.0162195,0.10813139999999999,10.82983,145.35585,176.13957,8.1804,60400.0,KEP
1929 PF,2.8997409,0.0975241,11.75466,261.38005,116.42204,18.09437,60400.0,KEP
1929 RB,2.1913341,0.2047107,2.39315,206.4928,139.6105,58.15065,60400.0,KEP
1929 RK,2.4051136,0.27624329999999997,6.56802,225.37785,122.47324,126.28642,60400.0,KEP
1930 AD,2.4272847,0.0403412,5.0721,331.71439,219.43223,260.86432,60400.0,KEP
A924 RJ,2.1957311,0.1606629,3.33488,280.43685,28.76192,244.56192,60400.0,KEP
1927 CB,3.3892223,0.0701045,4.53254,82.48016,205.39542,39.45638,60400.0,KEP
1928 BD,2.4626262,0.1659896,6.59566,39.0589,196.22057,241.70054,60400.0,KEP
1928 DA,2.2374034,0.0471322,1.3973,91.13088,354.32036,313.06257,60400.0,KEP
1929 QC,3.1834902,0.14329899999999998,9.55028,336.08977,312.21345,253.90252,60400.0,KEP
1929 QF,2.5633724,0.113217,14.82502,344.57612,57.49036,318.9163,60400.0,KEP
1929 RD,2.3798355,0.058338999999999995,13.03432,347.84082,312.36861,320.53952,60400.0,KEP
1929 RL,2.5613213,0.1182541,14.94398,3.69697,5.64537,22.58035,60400.0,KEP
1929 SF,3.1693112,0.0888292,9.39705,72.53109,310.88384,270.38315,60400.0,KEP
1930 AC,3.9278313,0.10529369999999999,1.8747800000000001,39.661410000000004,206.2782,262.21775,60400.0,KEP
1930 BA,3.219895,0.0418855,9.02186,127.49241,201.2566,283.29676,60400.0,KEP
1930 FB,2.306645,0.1949106,25.16926,156.87659,341.03381,331.4541,60400.0,KEP
1930 HM,3.1296276,0.2104912,12.7973,203.71075,96.64398,290.04527,60400.0,KEP
1930 MA,2.5353663,0.2082789,18.92384,106.6577,189.94024,43.28061,60400.0,KEP
1930 PB,3.4160936,0.0677243,5.74695,223.34605,72.84088,327.44944,60400.0,KEP
1930 QA,2.5519355,0.2173581,12.72761,218.59654,122.98151,340.63309,60400.0,KEP
1930 QH,2.3185386,0.1543862,4.05355,254.97109,177.0588,106.39465,60400.0,KEP
1930 SQ,2.3255332,0.3012029,22.16614,0.85116,59.38627,97.43441,60400.0,KEP
1930 TA,3.1755753,0.19484959999999998,3.08554,121.48865,292.47054,196.7628,60400.0,KEP
1930 UA,5.2333583,0.1066264,16.65484,247.25861,51.86186,59.45953,60400.0,KEP
1930 UB,5.275645,0.1385747,6.92682,283.91229,41.50808,2.00715,60400.0,KEP
1930 UC,3.0233199,0.1099454,10.06288,0.8825500000000001,353.85402,315.27719,60400.0,KEP
1930 UD,3.2120951,0.07086669999999999,16.34895,236.98054,99.34902,115.05468,60400.0,KEP
1930 VE,2.6916870999999998,0.1424827,6.64719,272.10345,155.36785,41.55439,60400.0,KEP
1930 WA,3.3464173,0.0346196,15.01642,251.73279,255.43188,356.77814,60400.0,KEP
